DienTich,City,District,MatTien,PhapLy,DuongVao,HuongNha,SoTang,SoPhongNgu,SoToilet,NoiThat,Ward,USD
52.0,1.0,19.0,,1.0,,4.0,5.0,5.0,4.0,2.0,631.0,360000.0
45.0,1.0,3.0,,1.0,,7.0,5.0,4.0,4.0,2.0,109.0,248000.0
52.0,79.0,778.0,4.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,27478.0,215200.0
39.0,1.0,7.0,3.2,1.0,,6.0,3.0,2.0,2.0,2.0,286.0,212000.0
98.0,75.0,731.0,5.1,1.0,,4.0,2.0,3.0,2.0,3.0,25996.0,158000.0
90.0,75.0,731.0,,1.0,8.0,2.0,2.0,3.0,2.0,3.0,25996.0,156000.0
64.0,79.0,778.0,3.5,1.0,3.5,5.0,2.0,3.0,2.0,1.0,27472.0,152000.0
50.0,1.0,9.0,5.7,1.0,,5.0,4.0,4.0,2.0,2.0,349.0,272000.0
94.0,79.0,762.0,4.0,1.0,6.0,5.0,3.0,3.0,3.0,2.0,26827.0,316000.0
46.0,1.0,268.0,3.0,1.0,,8.0,4.0,4.0,3.0,2.0,9541.0,268000.0
55.0,1.0,6.0,,1.0,,6.0,7.0,4.0,6.0,2.0,187.0,675999.9999999999
36.0,1.0,8.0,,1.0,,4.0,4.0,4.0,3.0,2.0,328.0,174000.0
39.0,1.0,8.0,5.4,1.0,4.0,7.0,5.0,3.0,4.0,3.0,340.0,180000.0
25.0,1.0,6.0,,1.0,,2.0,5.0,3.0,4.0,2.0,232.0,216000.0
50.0,1.0,268.0,,1.0,,4.0,5.0,4.0,4.0,3.0,9565.0,240000.0
138.0,1.0,1.0,,1.0,,4.0,5.0,6.0,3.0,0.0,34.0,1938000.0
138.0,1.0,6.0,,1.0,,2.0,5.0,6.0,3.0,0.0,199.0,1938000.0
86.0,79.0,776.0,6.0,1.0,4.0,7.0,4.0,5.0,3.0,2.0,27430.0,239600.0
138.0,1.0,1.0,,1.0,,4.0,5.0,6.0,3.0,0.0,25.0,1738800.0
43.0,1.0,5.0,4.5,1.0,3.3,4.0,5.0,4.0,4.0,2.0,163.0,218000.0
120.0,56.0,568.0,8.0,4.0,13.0,5.0,3.0,4.0,4.0,3.0,22357.0,288000.0
100.0,80.0,794.0,5.0,1.0,,5.0,3.0,3.0,3.0,2.0,27700.0,140000.0
72.0,79.0,774.0,4.0,1.0,12.0,4.0,3.0,4.0,4.0,3.0,27325.0,960000.0
115.0,79.0,762.0,5.0,1.0,14.0,5.0,4.0,4.0,5.0,1.0,26809.0,672000.0
40.0,31.0,304.0,4.0,1.0,21.0,5.0,5.0,5.0,4.0,3.0,11350.0,199200.0
52.0,1.0,9.0,5.0,1.0,,5.0,4.0,4.0,3.0,2.0,364.0,320000.0
66.0,79.0,768.0,,0.0,,4.0,2.0,4.0,4.0,1.0,27055.0,332000.00000000006
90.0,48.0,492.0,,1.0,,5.0,4.0,14.0,14.0,2.0,20258.0,388000.0
85.0,1.0,18.0,5.0,1.0,16.0,4.0,5.0,12.0,12.0,2.0,550.0,300000.0
288.0,79.0,760.0,8.0,1.0,20.0,6.0,2.0,4.0,5.0,3.0,26734.0,2880000.0
76.0,79.0,760.0,4.5,1.0,30.0,5.0,5.0,4.0,4.0,2.0,26743.0,5600000.0
20.0,79.0,776.0,2.5,1.0,,4.0,2.0,2.0,2.0,2.0,27427.0,50000.0
46.0,1.0,8.0,4.0,1.0,3.0,4.0,5.0,3.0,4.0,2.0,316.0,202000.0
100.0,79.0,764.0,5.0,1.0,12.0,1.0,5.0,5.0,5.0,0.0,26884.0,700000.0
50.0,1.0,8.0,4.0,1.0,3.5,2.0,5.0,4.0,3.0,2.0,307.0,246000.0
72.2,56.0,568.0,,1.0,,5.0,3.0,3.0,3.0,2.0,22366.0,432000.0
48.0,1.0,8.0,4.0,1.0,4.0,6.0,5.0,4.0,4.0,2.0,316.0,235200.0
46.0,1.0,8.0,4.1,1.0,4.0,5.0,5.0,3.0,4.0,2.0,316.0,204000.0
43.0,1.0,8.0,4.0,1.0,5.0,4.0,5.0,4.0,4.0,2.0,307.0,198000.0
46.0,1.0,8.0,4.0,1.0,4.0,3.0,5.0,3.0,3.0,2.0,307.0,206400.0
168.0,1.0,4.0,,1.0,,5.0,6.0,3.0,3.0,2.0,139.0,3000000.0
48.0,1.0,8.0,,1.0,,3.0,5.0,4.0,4.0,2.0,316.0,210400.0
50.0,1.0,6.0,4.5,1.0,50.0,7.0,4.0,4.0,4.0,2.0,190.0,748000.0
50.0,1.0,8.0,4.0,1.0,3.0,5.0,4.0,4.0,4.0,2.0,316.0,234000.0
48.0,1.0,8.0,4.0,1.0,4.0,3.0,4.0,4.0,3.0,2.0,331.0,230000.0
84.0,79.0,768.0,6.0,1.0,8.0,4.0,3.0,6.0,6.0,1.0,27085.0,1000000.0
100.0,79.0,762.0,,1.0,,5.0,3.0,2.0,2.0,2.0,26803.0,208000.0
43.0,1.0,8.0,4.0,1.0,3.0,7.0,5.0,3.0,3.0,2.0,307.0,194000.0
45.0,1.0,8.0,4.5,1.0,4.0,4.0,5.0,4.0,3.0,2.0,316.0,210000.0
56.3,79.0,768.0,3.6,1.0,,6.0,4.0,4.0,4.0,1.0,27058.0,480000.0
46.0,1.0,8.0,4.0,1.0,4.0,5.0,5.0,4.0,4.0,1.0,337.0,210000.0
566.0,79.0,775.0,14.0,1.0,60.0,6.0,1.0,5.0,5.0,3.0,27349.0,6160000.0
48.0,1.0,8.0,4.0,1.0,3.0,4.0,5.0,3.0,3.0,3.0,331.0,223200.0
60.0,1.0,4.0,4.0,1.0,4.5,7.0,6.0,5.0,5.0,2.0,139.0,476000.0
41.0,1.0,4.0,4.0,1.0,5.0,5.0,7.0,4.0,5.0,2.0,130.0,440000.0
394.0,79.0,766.0,12.5,1.0,12.0,4.0,4.0,10.0,10.0,3.0,26974.0,2520000.0
51.0,79.0,770.0,,1.0,4.0,1.0,4.0,4.0,4.0,2.0,27151.0,540000.0
100.0,79.0,763.0,5.0,1.0,12.0,7.0,3.0,4.0,5.0,1.0,26848.0,780000.0
76.0,1.0,18.0,,1.0,,3.0,3.0,3.0,4.0,1.0,565.0,540000.0
95.0,79.0,763.0,,1.0,,5.0,4.0,4.0,4.0,0.0,26866.0,600000.0
79.5,1.0,19.0,5.9,1.0,11.5,7.0,6.0,4.0,6.0,1.0,623.0,780000.0
400.0,75.0,741.0,,1.0,,7.0,3.0,6.0,3.0,2.0,26425.0,342000.00000000006
40.0,1.0,4.0,3.8,1.0,3.0,5.0,6.0,3.0,5.0,1.0,130.0,339200.0
90.0,1.0,6.0,5.0,1.0,8.0,6.0,5.0,4.0,3.0,2.0,199.0,804000.0
264.0,1.0,5.0,11.0,1.0,3.0,5.0,5.0,12.0,12.0,2.0,175.0,1640000.0
40.4,1.0,4.0,3.5,1.0,2.5,8.0,5.0,3.0,4.0,3.0,118.0,216000.0
45.0,1.0,5.0,4.5,1.0,3.3,5.0,5.0,4.0,4.0,2.0,166.0,226000.0
100.0,79.0,785.0,5.0,1.0,,1.0,3.0,3.0,4.0,2.0,27619.0,480000.0
227.0,79.0,760.0,,1.0,,3.0,3.0,3.0,3.0,2.0,26734.0,3800000.0
47.0,1.0,3.0,,1.0,,7.0,5.0,6.0,4.0,2.0,94.0,232000.0
75.0,1.0,4.0,5.0,1.0,6.0,5.0,6.0,4.0,6.0,2.0,118.0,732000.0
137.0,1.0,4.0,6.0,1.0,20.0,8.0,4.0,10.0,5.0,3.0,139.0,1916000.0
80.0,56.0,568.0,9.24,1.0,13.0,5.0,4.0,4.0,4.0,3.0,22378.0,224000.0
112.8,79.0,760.0,,1.0,,5.0,12.0,44.0,46.0,2.0,26743.0,4400000.0
76.0,79.0,771.0,4.0,1.0,,4.0,3.0,2.0,2.0,1.0,27166.0,720000.0
120.0,79.0,760.0,,1.0,,3.0,8.0,7.0,7.0,1.0,26740.0,4400000.0
148.0,79.0,778.0,8.0,1.0,18.0,7.0,5.0,4.0,4.0,2.0,27490.0,1840000.0
340.8,79.0,770.0,13.0,1.0,30.0,4.0,10.0,12.0,9.0,1.0,27142.0,5200000.0
100.0,10.0,88.0,5.0,1.0,12.0,5.0,4.0,7.0,6.0,3.0,3006.0,236000.0
145.0,79.0,786.0,,1.0,,7.0,2.0,7.0,7.0,1.0,27661.0,140000.0
110.0,79.0,769.0,10.0,1.0,,5.0,2.0,3.0,3.0,1.0,27088.0,920000.0
48.0,79.0,761.0,4.0,1.0,3.0,5.0,2.0,2.0,2.0,2.0,26782.0,146800.0
76.0,79.0,786.0,,1.0,,4.0,1.0,2.0,1.0,2.0,27655.0,96000.0
52.7,48.0,493.0,5.5,1.0,2.0,4.0,1.0,2.0,2.0,3.0,20272.0,106000.0
100.0,10.0,88.0,5.0,1.0,17.0,5.0,5.0,7.0,7.0,0.0,3006.0,240000.0
85.0,48.0,490.0,5.0,1.0,5.5,8.0,3.0,3.0,3.0,2.0,20200.0,268000.0
218.0,79.0,769.0,8.0,1.0,3.3,6.0,4.0,6.0,3.0,2.0,27100.0,1040000.0
60.0,48.0,492.0,4.0,1.0,6.0,2.0,2.0,3.0,3.0,1.0,20258.0,194000.0
90.0,80.0,803.0,,2.0,48.0,3.0,2.0,4.0,3.0,0.0,28012.0,122800.0
200.0,79.0,762.0,5.5,1.0,5.0,4.0,2.0,2.0,2.0,3.0,26827.0,380000.0
225.0,80.0,803.0,,2.0,48.0,5.0,2.0,4.0,3.0,3.0,28012.0,400000.0
153.2,79.0,763.0,6.5,1.0,8.0,6.0,2.0,2.0,2.0,3.0,26866.0,480000.0
55.0,1.0,21.0,5.5,1.0,4.0,4.0,5.0,7.0,7.0,2.0,602.0,300000.0
54.0,1.0,6.0,3.5,1.0,15.0,6.0,5.0,4.0,3.0,2.0,211.0,940000.0
52.0,79.0,767.0,,1.0,,4.0,4.0,2.0,3.0,2.0,27010.0,184000.0
90.0,1.0,3.0,4.0,1.0,2.5,6.0,5.0,4.0,4.0,3.0,109.0,512000.0
93.0,79.0,767.0,,1.0,20.0,5.0,1.0,1.0,1.0,2.0,27022.0,608000.0
77.0,31.0,305.0,5.0,1.0,13.0,6.0,4.0,4.0,4.0,2.0,11407.0,500000.0
115.0,75.0,731.0,5.0,2.0,6.0,4.0,2.0,4.0,2.0,2.0,25993.0,116000.0
124.0,48.0,495.0,5.0,1.0,10.5,2.0,3.0,3.0,2.0,2.0,20314.0,280000.0
60.0,1.0,21.0,6.0,1.0,4.0,5.0,5.0,9.0,5.0,2.0,602.0,300000.0
102.5,48.0,493.0,5.0,1.0,7.5,2.0,2.0,3.0,3.0,3.0,20275.0,320000.0
95.0,1.0,5.0,4.7,1.0,,2.0,4.0,4.0,4.0,1.0,175.0,620000.0
70.0,79.0,764.0,6.0,1.0,10.0,5.0,4.0,4.0,5.0,2.0,26875.0,264000.0
68.0,31.0,305.0,6.0,1.0,13.0,8.0,4.0,4.0,4.0,3.0,11405.0,380000.0
132.0,79.0,772.0,11.0,1.0,,3.0,6.0,12.0,12.0,1.0,27223.0,800000.0
70.0,48.0,490.0,3.5,1.0,3.5,6.0,3.0,3.0,3.0,2.0,20200.0,138000.0
100.0,80.0,794.0,,1.0,,6.0,3.0,3.0,3.0,0.0,27700.0,148000.0
102.0,48.0,493.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,20272.0,188000.0
34.0,1.0,8.0,4.0,1.0,3.0,5.0,5.0,3.0,4.0,2.0,319.0,196000.0
98.0,79.0,765.0,,1.0,,1.0,3.0,3.0,3.0,1.0,26923.0,631600.0
85.0,77.0,754.0,5.0,1.0,,6.0,3.0,4.0,4.0,2.0,26725.0,168000.0
100.0,1.0,4.0,7.0,1.0,17.0,2.0,5.0,4.0,4.0,2.0,139.0,1292000.0
95.0,79.0,763.0,,1.0,,4.0,4.0,4.0,4.0,0.0,26866.0,620000.0
225.0,1.0,4.0,11.0,1.0,13.0,5.0,4.0,3.0,3.0,2.0,127.0,1700000.0
48.0,1.0,7.0,4.5,1.0,3.0,5.0,5.0,3.0,4.0,1.0,268.0,237200.0
90.0,79.0,762.0,4.7,1.0,,3.0,1.0,4.0,4.0,2.0,26800.0,236000.0
46.0,1.0,20.0,3.6,1.0,3.2,7.0,5.0,5.0,4.0,3.0,664.0,224000.0
144.43,79.0,762.0,5.5,1.0,,5.0,3.0,3.0,3.0,2.0,26824.0,900000.0
95.0,1.0,3.0,7.0,1.0,2.8,6.0,6.0,8.0,8.0,1.0,97.0,880000.0
100.0,79.0,762.0,5.0,1.0,6.0,6.0,3.0,4.0,4.0,2.0,26821.0,320000.0
84.0,79.0,762.0,4.5,1.0,7.0,6.0,2.0,3.0,3.0,2.0,26800.0,400000.0
122.0,79.0,772.0,11.0,1.0,,1.0,6.0,10.0,10.0,2.0,27223.0,800000.0
90.0,79.0,778.0,4.5,1.0,,6.0,5.0,3.0,3.0,2.0,27478.0,588000.0
34.0,1.0,20.0,3.3,1.0,7.0,8.0,5.0,4.0,4.0,3.0,640.0,300000.0
110.0,75.0,735.0,8.0,1.0,6.0,2.0,1.0,4.0,2.0,2.0,26188.0,74000.0
90.0,48.0,492.0,,1.0,7.5,4.0,3.0,3.0,3.0,2.0,20258.0,240000.0
90.0,79.0,785.0,6.0,1.0,,6.0,1.0,4.0,3.0,2.0,27595.0,64000.0
96.0,75.0,731.0,4.8,1.0,6.0,2.0,2.0,3.0,2.0,2.0,25996.0,96000.0
40.0,79.0,763.0,,1.0,,4.0,2.0,4.0,2.0,2.0,26851.0,196000.0
168.0,70.0,697.0,6.0,1.0,12.0,6.0,2.0,3.0,3.0,1.0,25432.0,23200.0
102.2,79.0,762.0,6.61,1.0,,6.0,2.0,2.0,2.0,2.0,26824.0,220000.0
60.0,79.0,766.0,4.0,1.0,5.0,5.0,4.0,4.0,5.0,3.0,26974.0,420000.0
60.0,74.0,724.0,,1.0,,4.0,2.0,3.0,2.0,2.0,25948.0,106000.0
55.0,79.0,786.0,5.0,1.0,6.0,1.0,3.0,4.0,5.0,2.0,27643.0,199600.0
53.5,79.0,769.0,,1.0,4.0,7.0,3.0,4.0,5.0,1.0,27097.0,264000.0
100.0,1.0,1.0,7.8,1.0,4.0,7.0,8.0,14.0,14.0,2.0,16.0,824000.0
78.0,79.0,769.0,4.0,1.0,6.0,7.0,3.0,4.0,5.0,2.0,27100.0,340000.0
175.0,48.0,494.0,10.0,1.0,,4.0,2.0,5.0,4.0,2.0,20285.0,532000.0
92.5,48.0,492.0,5.0,1.0,5.5,3.0,3.0,4.0,4.0,2.0,20257.0,292000.0
95.0,1.0,268.0,7.5,1.0,15.0,4.0,5.0,5.0,5.0,2.0,9553.0,1060000.0
90.0,33.0,326.0,,1.0,30.0,5.0,4.0,4.0,3.0,2.0,12022.0,664000.0000000001
111.0,1.0,21.0,8.7,1.0,30.0,5.0,3.0,4.0,4.0,3.0,617.0,800000.0
268.2,77.0,747.0,24.0,1.0,,7.0,2.0,3.0,3.0,2.0,26535.0,640000.0
50.0,1.0,3.0,4.0,1.0,,6.0,4.0,3.0,4.0,3.0,103.0,420000.0
52.0,1.0,268.0,11.0,1.0,30.0,2.0,5.0,4.0,5.0,2.0,9565.0,368000.0
105.0,33.0,326.0,5.5,4.0,,3.0,4.0,4.0,3.0,0.0,12022.0,864000.0
52.0,1.0,268.0,4.2,1.0,16.0,4.0,6.0,5.0,6.0,2.0,9551.0,432000.0
130.0,79.0,766.0,5.0,1.0,,2.0,1.0,2.0,2.0,2.0,27004.0,680000.0
150.0,1.0,1.0,15.0,1.0,20.0,4.0,4.0,5.0,5.0,2.0,7.0,1920000.0
60.0,56.0,568.0,6.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,22393.0,92000.0
67.0,79.0,778.0,4.5,1.0,5.0,2.0,2.0,2.0,2.0,0.0,27487.0,174000.0
41.0,1.0,20.0,,1.0,,3.0,1.0,2.0,2.0,2.0,649.0,184000.0
265.0,1.0,3.0,9.5,2.0,,3.0,2.0,3.0,4.0,3.0,94.0,2000000.0
175.0,79.0,763.0,,1.0,,3.0,3.0,4.0,4.0,0.0,26866.0,860000.0
54.0,79.0,763.0,4.0,1.0,6.0,4.0,3.0,3.0,3.0,2.0,26845.0,232000.0
75.0,79.0,763.0,,1.0,,4.0,3.0,3.0,3.0,2.0,26866.0,324000.0
100.0,79.0,763.0,,1.0,24.0,5.0,4.0,5.0,5.0,0.0,26848.0,560000.0
83.0,79.0,763.0,,1.0,,3.0,3.0,4.0,5.0,2.0,26866.0,340000.0
70.4,74.0,725.0,,1.0,12.0,5.0,2.0,4.0,3.0,2.0,25972.0,113200.0
33.0,1.0,8.0,,1.0,,2.0,5.0,3.0,4.0,1.0,322.0,226400.0
108.0,79.0,763.0,,1.0,12.0,3.0,3.0,4.0,4.0,2.0,26866.0,380000.0
75.0,79.0,763.0,,1.0,12.0,7.0,3.0,3.0,3.0,0.0,26866.0,272000.0
59.3,48.0,492.0,4.46,1.0,10.5,1.0,3.0,3.0,3.0,3.0,20233.0,556000.0
48.0,79.0,765.0,,1.0,,5.0,4.0,4.0,3.0,2.0,26905.0,316000.0
355.0,79.0,763.0,,1.0,,1.0,3.0,6.0,6.0,0.0,26866.0,1040000.0
924.0,49.0,503.0,,1.0,,7.0,3.0,15.0,17.0,2.0,20422.0,1400000.0
42.0,1.0,1.0,3.8,1.0,6.0,1.0,6.0,7.0,5.0,2.0,8.0,412000.0
52.0,1.0,5.0,4.5,1.0,,3.0,6.0,5.0,4.0,2.0,160.0,480000.0
45.0,1.0,19.0,4.5,1.0,3.0,3.0,3.0,3.0,2.0,2.0,625.0,256000.0
75.0,79.0,771.0,,1.0,10.0,4.0,6.0,11.0,10.0,2.0,27172.0,740000.0
41.0,1.0,5.0,6.2,1.0,,3.0,5.0,5.0,4.0,2.0,160.0,220000.0
35.0,1.0,6.0,3.2,1.0,,3.0,4.0,4.0,3.0,3.0,238.0,260000.0
48.0,79.0,764.0,4.0,1.0,3.5,5.0,3.0,4.0,4.0,2.0,26890.0,246000.0
57.0,1.0,9.0,,1.0,,7.0,4.0,4.0,3.0,2.0,367.0,672000.0
41.0,1.0,5.0,5.0,1.0,,5.0,5.0,3.0,3.0,2.0,172.0,327999.99999999994
50.0,1.0,1.0,4.0,1.0,,7.0,2.0,2.0,3.0,2.0,6.0,340000.0
37.0,1.0,4.0,3.5,1.0,6.0,6.0,6.0,3.0,5.0,3.0,148.0,250000.0
27.0,1.0,6.0,3.7,1.0,,4.0,2.0,2.0,2.0,1.0,196.0,110000.0
100.0,48.0,494.0,5.0,1.0,15.0,3.0,3.0,3.0,2.0,2.0,20285.0,296000.0
60.0,1.0,4.0,4.2,1.0,8.0,5.0,7.0,6.0,6.0,2.0,145.0,680000.0
160.0,1.0,1.0,7.0,1.0,14.0,5.0,4.0,7.0,5.0,2.0,1.0,1320000.0
80.0,79.0,771.0,,1.0,,7.0,4.0,4.0,5.0,2.0,27169.0,580000.0
58.0,79.0,762.0,4.0,1.0,,3.0,1.0,1.0,1.0,1.0,26827.0,140000.0
133.0,83.0,832.0,5.0,1.0,4.0,6.0,1.0,3.0,1.0,3.0,28885.0,44000.0
60.0,1.0,7.0,3.5,1.0,,3.0,2.0,2.0,2.0,2.0,286.0,180000.0
70.0,1.0,3.0,5.0,1.0,25.0,3.0,8.0,10.0,12.0,1.0,112.0,1220000.0
40.0,1.0,19.0,4.0,1.0,2.5,6.0,5.0,7.0,6.0,3.0,628.0,170000.0
72.0,31.0,303.0,5.0,1.0,10.0,2.0,4.0,4.0,3.0,1.0,11302.0,271600.0
50.0,31.0,303.0,4.0,1.0,11.0,8.0,4.0,4.0,3.0,2.0,11302.0,188000.0
180.0,79.0,777.0,,0.0,,7.0,4.0,7.0,7.0,1.0,27463.0,1020000.0
60.0,74.0,724.0,5.0,1.0,4.0,2.0,2.0,3.0,2.0,2.0,25942.0,130000.0
80.0,56.0,568.0,5.0,1.0,12.0,6.0,4.0,4.0,4.0,1.0,22357.0,256000.0
93.0,68.0,672.0,,1.0,,4.0,7.0,23.0,24.0,2.0,24802.0,980000.0
60.0,79.0,777.0,,1.0,,3.0,2.0,2.0,2.0,3.0,27436.0,239600.0
48.0,1.0,3.0,4.0,1.0,3.0,4.0,5.0,4.0,5.0,3.0,109.0,464000.0
46.0,1.0,9.0,5.2,1.0,,5.0,7.0,4.0,3.0,1.0,349.0,500000.0
300.0,75.0,736.0,,1.0,,1.0,1.0,2.0,1.0,1.0,26242.0,106000.0
133.0,79.0,778.0,7.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0,27469.0,760000.0
40.0,1.0,7.0,6.1,1.0,2.5,1.0,2.0,2.0,2.0,3.0,244.0,184000.0
76.0,79.0,762.0,6.0,1.0,12.0,5.0,4.0,4.0,5.0,2.0,26812.0,264000.0
141.0,79.0,766.0,,1.0,,6.0,4.0,5.0,5.0,2.0,26968.0,1080000.0
300.0,75.0,736.0,10.0,1.0,10.0,4.0,1.0,2.0,1.0,2.0,26239.0,108000.0
100.0,79.0,767.0,4.0,1.0,20.0,7.0,4.0,5.0,4.0,1.0,27013.0,500000.0
126.0,1.0,274.0,15.0,1.0,17.0,6.0,2.0,4.0,3.0,1.0,9862.0,680400.0
147.2,1.0,17.0,8.1,0.0,5.0,4.0,3.0,5.0,4.0,1.0,472.0,400000.0
71.0,1.0,7.0,,1.0,6.5,7.0,4.0,3.0,3.0,2.0,271.0,234000.0
102.0,1.0,21.0,,1.0,,2.0,7.0,21.0,21.0,1.0,601.0,660000.0
